Judul,Harga,Gambar
Buku Riset Operasi “Pendekatan Praktis”,Rp 105.000,https://deepublishstore.com/wp-content/uploads/2017/06/Riset-Operasi-Convert-dpn2-300x400.jpg
Buku Good Governance dan Good Corporate Gover...,Rp 61.000,https://deepublishstore.com/wp-content/uploads/2024/07/2406203_Good-Governance-dan-Good_I-Komang-Arthana-rev-2.0-percepatan-depan-200x267.jpg
Buku Pengantar Sistem Enterprise Studi Kasus ...,Rp 91.000,https://deepublishstore.com/wp-content/uploads/2023/07/pengantar-sistem-cover-200x267.png
Buku Ekonomi Syariah di Indonesia: Tinjauan A...,Rp 52.000,https://deepublishstore.com/wp-content/uploads/2022/12/Ekonomi-Syariah_Nur-Hidayah-rev-4.0-70gr-Convert-Depan-300x400.jpg
Buku Mengenal Ekonomi Syariah dalam Kompilasi...,Rp 155.000,https://deepublishstore.com/wp-content/uploads/2022/04/Mengenal-Ekonomi-Syariah_Luciana-rev-2.0-HVS70gr-depan-300x400.jpg
Buku Perancangan Tata Letak Pabrik,Rp 111.000,https://deepublishstore.com/wp-content/uploads/2017/08/Perancangan-Tata-Letak-Pabrik-Muh-Arif-depan1-300x400.jpg
"Buku Keuangan Negara, Daerah Dan Desa",Rp 70.000,https://deepublishstore.com/wp-content/uploads/2024/11/Screenshot-2024-11-22-111954-200x267.png
Buku Model Tata Kelola Bank Syariah Sebuah Ri...,Rp 93.000,https://deepublishstore.com/wp-content/uploads/2023/10/ttata-kelola-p-cover-200x267.png
Buku Kepatuhan Wajib Pajak dari Perspektif In...,Rp 142.000,https://deepublishstore.com/wp-content/uploads/2022/06/Kepatuhan-Wajib-Pajak-dari-Perspektif_Heliani_70gr_Convert_Depan-300x400.jpg
Buku Iklim Organisasi Era Digital (Konseptual...,Rp 66.000,https://deepublishstore.com/wp-content/uploads/2021/04/Iklim-Organisasi-Era-Digital_Fakhry-Zamzam-rev-1.0-depan-scaled-300x400.jpg
Buku Manajemen Pengadaan Barang Dan Jasa,Rp 131.000,https://deepublishstore.com/wp-content/uploads/2019/09/Manajemen-Pengadaan-Barang-dan-Jasa_Hertin-Indira-U-depan-300x400.jpg
Buku Ajar Pengantar Bisnis,Rp 64.500,https://deepublishstore.com/wp-content/uploads/2018/01/Pengantar-Bisnis-Convert-ISBN-ebook-depan-300x400.jpg
Buku Marketing Public Relations –Diantara P...,Rp 0,https://deepublishstore.com/wp-content/uploads/2017/12/Marketing-Public-Relations-Convert-ISBN-ebook-depan-scaled-300x400.jpg
Buku Pengantar Dasar-Dasar Kepemimpinan,Rp 89.000,https://deepublishstore.com/wp-content/uploads/2017/02/PENGANTAR-DASAR-DASAR-KEPEMIMPINAN-Convert-depan-300x400.jpg
Buku Financial Technology 5.0,Rp 57.500,https://deepublishstore.com/wp-content/uploads/2025/05/2504082_Financial-Technology-5.0_Prof-Suryanto-rev-1.0-depan-200x267.jpg
Buku Transformasi Industri Pariwisata di Era ...,Rp 83.000,https://deepublishstore.com/wp-content/uploads/2024/07/Transformasi-Industri-Pariwisata-di-Era-Digital-200x267.png
Buku Teknik Perhitungan PPh Pasal 21/26,Rp 140.000,https://deepublishstore.com/wp-content/uploads/2023/09/teknik-perhitungan-cover-200x267.png
Buku Pengantar Akuntansi 1,Rp 100.000,https://deepublishstore.com/wp-content/uploads/2023/03/pengantar-akuntansi-_-1-200x267.png
Buku Merek Dagang Tingkatkan Ekonomi Kreatif,Rp 85.000,https://deepublishstore.com/wp-content/uploads/2021/03/Merek-Dagang_Suryansyah_Rev-2.0_70gr_Convert_Depan-scaled-300x400.jpg
"Buku Pajak Lalu Lintas Barang (Kepabeanan, Ek...",Rp 66.000,https://deepublishstore.com/wp-content/uploads/2021/02/Pajak-Lalu-Lintas-Barang_Astri-Warih-Anjarwi-rev-5.0-80gr-depan-scaled-300x400.jpg
Buku Pajak Internasional,Rp 127.000,https://deepublishstore.com/wp-content/uploads/2021/01/Pajak-Internasional_Kartika-Putri-K-Rev-1.0_70gr_Convert_Depan-scaled-300x400.jpg
Buku Govermental Accounting (Akuntansi Pemeri...,Rp 122.000,https://deepublishstore.com/wp-content/uploads/2020/03/Govermental-Accounting_Anwar-Sadat-rev-1.0-80gr-Convert-depan-scaled-300x400.jpg
Buku Sistem Informasi Akuntansi dengan Pendek...,Rp 163.000,https://deepublishstore.com/wp-content/uploads/2020/02/Sistem-Informasi-Akuntansi_Taufan-Adi-rev-1.0-Convert-depan-scaled-300x400.jpg
Buku Manajemen Usaha Kecil dan Kewirausahaan,Rp 107.000,https://deepublishstore.com/wp-content/uploads/2018/11/Manajemen-Usaha-Kecil-dan-Kewirausahaan_Dyanasari-depan-300x400.jpg
Akuntansi: Lembaga Keuangan Syariah 1,Rp 67.000,https://deepublishstore.com/wp-content/uploads/2016/10/Akuntansi-Lembaga-Keuangan-Syariah-1-1-200x267.jpg
Buku Akuntansi Sektor Publik,Rp 173.000,https://deepublishstore.com/wp-content/uploads/2025/07/2505164_UNMAS_Akuntansi-Sektor-Publik_Ida-Ayu-Ratih-70gr-Convert-Depan-200x267.jpg
Buku Digital Entrepreneurship,Rp 100.000,https://deepublishstore.com/wp-content/uploads/2023/10/digital-entre-cover-200x267.png
Buku Perilaku Konsumen (Edisi Revisi),Rp 174.000,https://deepublishstore.com/wp-content/uploads/2023/08/perilaku-konsumen-cover-200x267.png
Buku Teknik Penyusunan Laporan Keuangan Berba...,Rp 146.000,https://deepublishstore.com/wp-content/uploads/2023/01/laporan-keuangan-200x267.png
Buku Mudah Membuat Laporan Keuangan (Panduan ...,Rp 122.000,https://deepublishstore.com/wp-content/uploads/2022/12/WhatsApp-Image-2022-12-19-at-10.56.24-1-300x400.jpeg
Buku Mikro-Ekonometrika: Sebuah Pengantar,Rp 68.000,https://deepublishstore.com/wp-content/uploads/2022/11/mikro-ekonomi-_1-300x400.png
Buku Pengantar Manajemen Bisnis Digital,Rp 70.000,https://deepublishstore.com/wp-content/uploads/2022/06/Pengantar-Manajemen-Bisnis-Digital_Sekar-Outsource-depan-300x400.jpg
Buku Teknik Membuat Literature Review Bidang ...,Rp 258.000,https://deepublishstore.com/wp-content/uploads/2021/08/Teknik-Membuat-Literature_Asyari-rev-1.0-depan-300x400.jpg
Buku Referensi Strategi Pemasaran 5.0,Rp 93.000,https://deepublishstore.com/wp-content/uploads/2021/07/STRATEGI-PEMASARAN-5.0_Zulki-Zulkifli-Retno-Widyani_70gr_Convert_Depan-300x400.jpg
Buku Kewirausahaan dan Studi Kelayakan Bisnis...,Rp 110.000,https://deepublishstore.com/wp-content/uploads/2021/05/Kewirausahaan-dan-Studi-Kelayakan_Apri-Winge-70gr-Convert-depan-300x400.jpg
Buku Literasi Keuangan Berbasis Fintech Bagi ...,Rp 134.000,https://deepublishstore.com/wp-content/uploads/2020/11/LITERASI-KEUANGAN-BERBASIS-FINTECH_Christian-Herdinata-rev-2.0-depan-scaled-300x400.jpg
Buku Ekonomi Wilayah Untuk Perencanaan Tata R...,Rp 0,https://deepublishstore.com/wp-content/uploads/2020/01/Ekonomi-Wilayah-Untuk-Perencanaan-Tata-Ruang_Retno-Widodo-depan-scaled-300x400.jpg
Buku Paradigma Masterpiece Keuangan Islam dan...,Rp 133.000,https://deepublishstore.com/wp-content/uploads/2019/07/Paradigma-Masterpiece-Keuangan-Islam_Muhammad-Hadi-Asliah-depan-scaled-300x400.jpg
Buku Dasar Manajemen Konstruksi Proyek Jalan ...,Rp 108.000,https://deepublishstore.com/wp-content/uploads/2018/12/Dasar-Manajemen-Konstruksi-Proyek-Jalan_Derry-Perdana-Munsil-revisi-2.0-Convert-depan-scaled-300x400.jpg
Buku Analytical Hierarchy Process (Ahp) Tekni...,Rp 114.000,https://deepublishstore.com/wp-content/uploads/2018/12/Analytical-Hierarchy-Process-AHP-Apip-rev-1.0-Convert-depan-scaled-300x400.jpg
Buku Supply Chain Management,Rp 204.000,https://deepublishstore.com/wp-content/uploads/2018/05/Supply-Chain-Management-Arif-Convert-depan-300x400.jpg
Buku Ajar Perekonomian Indonesia,Rp 77.500,https://deepublishstore.com/wp-content/uploads/2018/04/Buku-Ajar-Perekonomian-Indonesia-Sattar-rev-1.0-Converrt-depan-300x400.jpg
Buku Statistika Ekonomi dan Bisnis,Rp 140.000,https://deepublishstore.com/wp-content/uploads/2017/11/Statistika-Ekonomi-dan-bisnis-depan-scaled-300x400.jpg
Buku Sistem Pendukung Keputusan,Rp 131.000,https://deepublishstore.com/wp-content/uploads/2017/10/sistem-pendukung-keputusan-convert-dpn1-300x400.jpg
Buku Manajemen Proyek Konstruksi,Rp 101.000,https://deepublishstore.com/wp-content/uploads/2017/05/Manajemen-Proyek-Konstruksi-Convert-depan1-300x400.jpg
Buku Tata Kelola Koperasi yang Baik (Good Coo...,Rp 84.000,https://deepublishstore.com/wp-content/uploads/2017/03/Tata-Kelola-Koperasi-Good-Cooperative-Governance-Convert-depan-300x400.jpg
Buku Concept & Indicator Human Resources ...,Rp 116.000,https://deepublishstore.com/wp-content/uploads/2016/11/Concept-Indicator-pilihan-Convert-depan-scaled-300x400.jpg
